Dar es Salaam,Kinondoni,Dar es Salaam,4536,Dar es Salaam,Salasala,1,1,794992
Dar es Salaam,Kinondoni,Dar es Salaam,4536,Dar es Salaam,KAribu na ubalozi wa umoja wa ulaya,2,2,194608
Dar es Salaam,Kinondoni,Dar es Salaam,576,Dar es Salaam,Karibu na Bahari,5,4,835950
Dar es Salaam,Kinondoni,msasani,576,lolos beach,Karibu na Bahari,5,5,220426
Dar es Salaam,Kinondoni,Mikocheni,4664,Mwelimu Nyerere,Mwalimu Nyerere House,7,6,422681
Dar es Salaam,Ilala,Azikiwe Street,,AZikiwe karibu na CRDB,CRDB Azikiwe office,8,7,798231
Dar_es-salaam,Kinondoni,Dar es salaam,,Shoppers,Shoppers,9,8,205499
DAR ES SALAAM,Temeke ,Dar es salaam,,Zakhiem,Imetazamana na barabara kubwa,12,11,664379
DAR ES SALAAM,Kigamboni,Dar es salaam,,Kibada,,14,12,467834
DAR ES SALAAM,Kigamboni,Dar es salaam,,Mji mwema,Dege,15,13,472575
